layer,head,n,mean_effect,mean_abs_effect,std_effect
21,29,10,0.003125,0.046875,0.060029
24,8,10,0.009375,0.046875,0.055989
26,27,10,-0.028125,0.046875,0.045178
28,17,10,0.021875,0.046875,0.048513
29,18,10,0.021875,0.046875,0.054217
1,28,10,-0.001563,0.045312,0.050607
2,12,10,-0.020313,0.045312,0.055043
3,11,10,0.029687,0.045312,0.053423
8,8,10,0.026562,0.045312,0.054149
9,25,10,-0.007812,0.045312,0.052872
10,31,10,0.001563,0.045312,0.064215
14,2,10,0.020313,0.045312,0.054149
14,8,10,0.007812,0.045312,0.053787
14,19,10,0.017188,0.045312,0.053423
15,17,10,0.020313,0.045312,0.060937
16,21,10,0.020313,0.045312,0.051373
17,16,10,-0.014063,0.045312,0.047624
17,29,10,0.014063,0.045312,0.052501
18,25,10,0.035937,0.045312,0.052315
19,4,10,0.014063,0.045312,0.050607
21,5,10,-0.020313,0.045312,0.052315
21,10,10,-0.026562,0.045312,0.043103
21,22,10,-0.004687,0.045312,0.054149
23,28,10,0.010937,0.045312,0.063296
24,24,10,0.020313,0.045312,0.054149
26,14,10,-0.001563,0.045312,0.056098
28,14,10,0.026562,0.045312,0.047419
30,12,10,0.039062,0.045312,0.044879
0,6,10,0.006250,0.043750,0.068179
2,2,10,-0.025000,0.043750,0.053765
2,10,10,-0.012500,0.043750,0.048814
5,20,10,-0.037500,0.043750,0.033657
7,28,10,-0.012500,0.043750,0.054486
10,7,10,0.000000,0.043750,0.055902
13,13,10,0.012500,0.043750,0.048814
17,27,10,-0.018750,0.043750,0.056250
18,5,10,-0.012500,0.043750,0.050775
18,28,10,0.031250,0.043750,0.048412
19,0,10,0.000000,0.043750,0.054127
19,22,10,-0.006250,0.043750,0.051916
20,18,10,0.006250,0.043750,0.053765
21,19,10,0.012500,0.043750,0.048814
22,10,10,0.000000,0.043750,0.050389
24,7,10,0.000000,0.043750,0.052291
26,31,10,0.006250,0.043750,0.050000
27,2,10,-0.006250,0.043750,0.051916
27,15,10,0.037500,0.043750,0.050000
2,11,10,0.010937,0.042188,0.046378
2,17,10,-0.014063,0.042188,0.047624
2,22,10,-0.004687,0.042188,0.051373
5,14,10,-0.017188,0.042188,0.046588
8,26,10,0.017188,0.042188,0.046588
10,19,10,0.007812,0.042188,0.061416
10,20,10,0.007812,0.042188,0.052872
11,2,10,0.017188,0.042188,0.044442
11,19,10,0.010937,0.042188,0.054149
11,31,10,-0.007812,0.042188,0.058149
12,18,10,-0.001563,0.042188,0.060293
13,20,10,0.026562,0.042188,0.048438
15,22,10,-0.010937,0.042188,0.055924
17,23,10,0.014063,0.042188,0.049632
18,7,10,0.004687,0.042188,0.051373
20,26,10,0.010937,0.042188,0.052315
24,18,10,0.020313,0.042188,0.050413
28,0,10,0.004687,0.042188,0.055043
0,20,10,0.009375,0.040625,0.055989
3,4,10,-0.009375,0.040625,0.044305
4,24,10,-0.021875,0.040625,0.050486
5,26,10,-0.015625,0.040625,0.050871
7,15,10,-0.028125,0.040625,0.038145
10,23,10,0.003125,0.040625,0.045178
11,12,10,-0.003125,0.040625,0.056682
11,25,10,0.003125,0.040625,0.054932
11,29,10,-0.021875,0.040625,0.050486
14,21,10,0.034375,0.040625,0.040625
14,28,10,0.021875,0.040625,0.042043
15,7,10,-0.003125,0.040625,0.047290
15,12,10,-0.009375,0.040625,0.050486
16,9,10,0.021875,0.040625,0.044305
16,19,10,-0.021875,0.040625,0.050486
17,3,10,-0.015625,0.040625,0.052756
18,14,10,-0.015625,0.040625,0.044743
18,31,10,-0.009375,0.040625,0.048513
21,1,10,-0.021875,0.040625,0.052385
25,12,10,-0.009375,0.040625,0.048513
27,11,10,0.009375,0.040625,0.057707
28,25,10,-0.003125,0.040625,0.051254
30,22,10,0.028125,0.040625,0.038145
3,20,10,0.001563,0.039062,0.046588
7,10,10,0.004687,0.039062,0.048438
8,1,10,0.017188,0.039062,0.048639
10,30,10,0.017188,0.039062,0.057813
11,28,10,-0.010937,0.039062,0.051373
15,6,10,0.001563,0.039062,0.047624
15,13,10,-0.007812,0.039062,0.050024
16,30,10,0.020313,0.039062,0.048438
17,12,10,-0.001563,0.039062,0.054329
17,28,10,0.007812,0.039062,0.045955
18,11,10,0.032813,0.039062,0.033109
20,8,10,0.020313,0.039062,0.048438
20,10,10,0.004687,0.039062,0.046378
22,17,10,0.020313,0.039062,0.041955
23,11,10,0.001563,0.039062,0.050607
23,23,10,0.001563,0.039062,0.044442
23,24,10,0.007812,0.039062,0.043778
23,25,10,-0.004687,0.039062,0.046378
25,26,10,0.014063,0.039062,0.043329
26,17,10,0.010937,0.039062,0.047419
27,22,10,0.007812,0.039062,0.053787
28,1,10,0.014063,0.039062,0.050607
31,11,10,-0.026562,0.039062,0.056790
3,14,10,0.006250,0.037500,0.050000
5,12,10,-0.025000,0.037500,0.043750
6,21,10,0.000000,0.037500,0.057622
11,23,10,0.006250,0.037500,0.048007
12,31,10,0.000000,0.037500,0.044194
13,11,10,0.006250,0.037500,0.055551
15,0,10,-0.006250,0.037500,0.043750
15,3,10,0.025000,0.037500,0.045928
16,27,10,-0.018750,0.037500,0.046771
17,4,10,0.006250,0.037500,0.048007
17,21,10,-0.006250,0.037500,0.048007
17,30,10,0.006250,0.037500,0.060596
18,0,10,0.018750,0.037500,0.044634
18,17,10,0.006250,0.037500,0.051916
19,5,10,0.012500,0.037500,0.044634
20,5,10,-0.006250,0.037500,0.043750
20,9,10,0.006250,0.037500,0.048007
20,30,10,0.031250,0.037500,0.036975
20,31,10,0.012500,0.037500,0.042390
22,0,10,0.000000,0.037500,0.041926
22,1,10,0.000000,0.037500,0.048412
22,5,10,0.000000,0.037500,0.046351
22,12,10,0.012500,0.037500,0.052663
23,0,10,0.012500,0.037500,0.057960
24,11,10,0.000000,0.037500,0.046351
27,25,10,-0.018750,0.037500,0.054486
29,25,10,0.018750,0.037500,0.050775
30,2,10,0.012500,0.037500,0.042390
30,24,10,0.000000,0.037500,0.050389
3,7,10,0.004687,0.035937,0.047419
8,18,10,0.007812,0.035937,0.044879
10,6,10,0.029687,0.035937,0.037271
11,15,10,0.023438,0.035937,0.045955
12,17,10,-0.023438,0.035937,0.039062
14,17,10,0.001563,0.035937,0.043329
16,6,10,-0.010937,0.035937,0.052315
16,31,10,0.001563,0.035937,0.047624
17,1,10,-0.001563,0.035937,0.047624
18,8,10,-0.004687,0.035937,0.044222
20,11,10,0.029687,0.035937,0.037271
21,15,10,-0.001563,0.035937,0.041014
21,18,10,-0.007812,0.035937,0.042648
21,30,10,-0.010937,0.035937,0.045312
22,30,10,0.023438,0.035937,0.039062
22,31,10,-0.017188,0.035937,0.052501
23,7,10,0.007812,0.035937,0.042648
23,12,10,-0.004687,0.035937,0.041955
25,0,10,0.014063,0.035937,0.041014
25,11,10,0.014063,0.035937,0.043329
28,26,10,0.017188,0.035937,0.046588
29,6,10,0.029687,0.035937,0.031600
5,27,10,-0.003125,0.034375,0.045178
6,20,10,0.003125,0.034375,0.056682
11,8,10,0.015625,0.034375,0.046875
15,19,10,0.003125,0.034375,0.051254
16,1,10,0.015625,0.034375,0.037630
17,8,10,-0.028125,0.034375,0.051254
17,9,10,-0.003125,0.034375,0.040625
18,2,10,0.021875,0.034375,0.046456
18,4,10,0.009375,0.034375,0.042043
18,16,10,0.021875,0.034375,0.039652
19,12,10,0.028125,0.034375,0.032626
20,1,10,0.003125,0.034375,0.047290
20,14,10,-0.003125,0.034375,0.045178
20,15,10,0.003125,0.034375,0.042962
21,28,10,0.015625,0.034375,0.048914
22,25,10,0.034375,0.034375,0.032626
22,27,10,0.028125,0.034375,0.042962
23,30,10,-0.028125,0.034375,0.029481
25,30,10,0.028125,0.034375,0.042962
27,20,10,-0.015625,0.034375,0.048914
27,30,10,0.015625,0.034375,0.042505
28,20,10,-0.003125,0.034375,0.042962
29,31,10,0.003125,0.034375,0.053125
30,18,10,0.028125,0.034375,0.035493
31,22,10,-0.021875,0.034375,0.034375
2,14,10,0.007812,0.032813,0.053787
14,12,10,-0.004687,0.032813,0.048438
15,8,10,0.001563,0.032813,0.039805
17,15,10,0.014063,0.032813,0.037271
17,24,10,0.007812,0.032813,0.036477
18,15,10,0.017188,0.032813,0.038559
19,8,10,0.004687,0.032813,0.044222
19,13,10,0.007812,0.032813,0.040293
19,21,10,0.014063,0.032813,0.039805
19,27,10,0.014063,0.032813,0.044442
20,7,10,0.020313,0.032813,0.034268
20,17,10,0.007812,0.032813,0.041487
21,0,10,-0.004687,0.032813,0.043103
21,11,10,0.007812,0.032813,0.049039
24,3,10,0.017188,0.032813,0.041014
24,5,10,0.020313,0.032813,0.037008
24,6,10,0.001563,0.032813,0.039805
24,10,10,0.004687,0.032813,0.039559
24,23,10,0.007812,0.032813,0.048033
24,29,10,-0.020313,0.032813,0.039559
24,30,10,0.032813,0.032813,0.045528
25,9,10,0.007812,0.032813,0.048033
26,9,10,-0.004687,0.032813,0.041955
26,18,10,0.014063,0.032813,0.039805
26,20,10,0.032813,0.032813,0.038559
27,8,10,-0.001563,0.032813,0.042187
27,29,10,0.004687,0.032813,0.039559
28,29,10,-0.010937,0.032813,0.063296
29,5,10,0.014063,0.032813,0.041014
29,9,10,0.007812,0.032813,0.039062
29,11,10,0.001563,0.032813,0.042187
30,0,10,-0.007812,0.032813,0.043778
30,1,10,0.032813,0.032813,0.026562
1,6,10,-0.006250,0.031250,0.041458
8,31,10,0.018750,0.031250,0.046771
10,11,10,-0.012500,0.031250,0.048814
12,15,10,0.000000,0.031250,0.039528
13,0,10,0.025000,0.031250,0.036443
13,26,10,0.006250,0.031250,0.041458
14,1,10,0.012500,0.031250,0.040020
14,14,10,0.006250,0.031250,0.041458
14,26,10,0.018750,0.031250,0.052663
16,16,10,0.006250,0.031250,0.039031
16,24,10,0.018750,0.031250,0.044634
16,28,10,0.000000,0.031250,0.041926
17,7,10,0.000000,0.031250,0.052291
17,25,10,0.012500,0.031250,0.046771
18,23,10,-0.006250,0.031250,0.043750
20,12,10,-0.018750,0.031250,0.040020
20,24,10,-0.006250,0.031250,0.039031
21,8,10,0.000000,0.031250,0.046351
21,26,10,0.006250,0.031250,0.036443
22,7,10,0.018750,0.031250,0.042390
22,14,10,-0.006250,0.031250,0.039031
23,1,10,0.006250,0.031250,0.043750
23,3,10,0.006250,0.031250,0.041458
24,15,10,0.000000,0.031250,0.039528
24,28,10,-0.012500,0.031250,0.034799
26,29,10,0.012500,0.031250,0.042390
27,3,10,0.018750,0.031250,0.044634
27,10,10,0.006250,0.031250,0.039031
27,12,10,0.018750,0.031250,0.040020
28,13,10,-0.006250,0.031250,0.050000
29,7,10,0.000000,0.031250,0.039528
29,20,10,0.006250,0.031250,0.045928
31,21,10,0.006250,0.031250,0.045928
2,19,10,-0.010937,0.029687,0.039559
2,24,10,-0.007812,0.029687,0.043778
2,28,10,0.001563,0.029687,0.038559
4,13,10,-0.010937,0.029687,0.048438
4,17,10,0.014063,0.029687,0.045528
9,14,10,0.010937,0.029687,0.039559
11,0,10,0.017188,0.029687,0.041014
13,7,10,0.007812,0.029687,0.050991
16,12,10,0.001563,0.029687,0.035937
16,29,10,-0.010937,0.029687,0.039559
17,18,10,-0.014063,0.029687,0.043329
18,19,10,-0.007812,0.029687,0.035113
19,17,10,0.017188,0.029687,0.034552
19,20,10,0.017188,0.029687,0.045528
20,6,10,-0.007812,0.029687,0.040293
22,8,10,-0.001563,0.029687,0.043329
23,21,10,0.004687,0.029687,0.038305
24,0,10,0.023438,0.029687,0.027288
25,2,10,0.001563,0.029687,0.038559
25,5,10,0.023438,0.029687,0.042648
25,7,10,0.017188,0.029687,0.041014
25,19,10,-0.001563,0.029687,0.038559
26,2,10,-0.004687,0.029687,0.040775
27,13,10,0.017188,0.029687,0.034552
30,8,10,0.017188,0.029687,0.043329
30,19,10,0.004687,0.029687,0.040775
30,26,10,0.010937,0.029687,0.037008
31,19,10,-0.029687,0.029687,0.037271
5,24,10,0.003125,0.028125,0.035493
7,3,10,0.009375,0.028125,0.034375
7,12,10,-0.015625,0.028125,0.037630
9,5,10,0.009375,0.028125,0.037107
11,18,10,-0.009375,0.028125,0.034375
13,15,10,-0.003125,0.028125,0.038145
13,21,10,0.003125,0.028125,0.035493
17,11,10,-0.003125,0.028125,0.038145
18,22,10,0.009375,0.028125,0.042043
18,27,10,0.028125,0.028125,0.032626
18,29,10,-0.003125,0.028125,0.051254
19,7,10,0.015625,0.028125,0.032022
19,11,10,0.003125,0.028125,0.035493
21,20,10,-0.009375,0.028125,0.042043
21,23,10,-0.009375,0.028125,0.034375
21,27,10,0.021875,0.028125,0.031406
22,18,10,-0.015625,0.028125,0.040141
23,9,10,0.015625,0.028125,0.034939
23,19,10,0.003125,0.028125,0.040625
23,31,10,0.021875,0.028125,0.031406
24,17,10,0.015625,0.028125,0.034939
26,16,10,0.003125,0.028125,0.038145
26,23,10,0.003125,0.028125,0.035493
28,5,10,0.021875,0.028125,0.037107
28,10,10,0.003125,0.028125,0.040625
28,23,10,0.009375,0.028125,0.034375
30,7,10,0.009375,0.028125,0.046456
30,11,10,0.015625,0.028125,0.040141
30,30,10,-0.015625,0.028125,0.034939
31,9,10,0.003125,0.028125,0.035493
31,25,10,0.009375,0.028125,0.042043
31,28,10,0.003125,0.028125,0.038145
12,16,10,0.020313,0.026562,0.029687
16,10,10,0.010937,0.026562,0.032813
17,19,10,0.014063,0.026562,0.031600
18,6,10,0.020313,0.026562,0.031289
19,25,10,0.020313,0.026562,0.035665
20,0,10,0.010937,0.026562,0.035665
20,3,10,0.014063,0.026562,0.031600
20,13,10,0.007812,0.026562,0.040293
20,23,10,0.001563,0.026562,0.039805
20,27,10,0.007812,0.026562,0.033694
20,29,10,0.007812,0.026562,0.050024
23,8,10,-0.004687,0.026562,0.034268
23,14,10,0.026562,0.026562,0.029688
24,14,10,0.014063,0.026562,0.034552
24,31,10,-0.007812,0.026562,0.033694
25,31,10,0.007812,0.026562,0.033694
26,24,10,0.020313,0.026562,0.027994
26,26,10,0.014063,0.026562,0.031600
29,23,10,0.007812,0.026562,0.033694
29,27,10,0.020313,0.026562,0.034268
31,14,10,0.020313,0.026562,0.027994
2,31,10,-0.006250,0.025000,0.036443
3,19,10,0.006250,0.025000,0.033657
4,7,10,0.012500,0.025000,0.031869
6,1,10,0.012500,0.025000,0.031869
11,1,10,0.012500,0.025000,0.034799
13,27,10,-0.006250,0.025000,0.039031
15,4,10,0.006250,0.025000,0.033657
15,28,10,-0.012500,0.025000,0.031869
18,21,10,-0.006250,0.025000,0.033657
19,23,10,0.025000,0.025000,0.030619
20,20,10,0.000000,0.025000,0.036975
20,28,10,-0.006250,0.025000,0.036443
22,13,10,0.025000,0.025000,0.027243
22,24,10,-0.006250,0.025000,0.033657
23,2,10,0.000000,0.025000,0.034233
23,22,10,0.012500,0.025000,0.037500
23,26,10,0.000000,0.025000,0.034233
24,26,10,0.000000,0.025000,0.031250
26,28,10,-0.012500,0.025000,0.034799
27,5,10,0.006250,0.025000,0.033657
27,9,10,0.006250,0.025000,0.033657
27,31,10,0.012500,0.025000,0.037500
28,4,10,0.000000,0.025000,0.034233
28,12,10,0.018750,0.025000,0.040020
6,25,10,0.004687,0.023438,0.032813
15,15,10,-0.014063,0.023438,0.035938
16,23,10,-0.004687,0.023438,0.032813
17,26,10,0.010937,0.023438,0.034268
18,30,10,0.004687,0.023438,0.029687
19,3,10,0.010937,0.023438,0.034268
19,6,10,0.007812,0.023438,0.029022
19,24,10,0.004687,0.023438,0.032813
19,28,10,0.004687,0.023438,0.032813
21,24,10,-0.001563,0.023438,0.041014
22,28,10,0.004687,0.023438,0.032813
24,2,10,0.014063,0.023438,0.030015
25,10,10,0.010937,0.023438,0.031289
25,13,10,-0.001563,0.023438,0.030015
25,14,10,-0.001563,0.023438,0.030015
25,22,10,-0.004687,0.023438,0.031289
26,1,10,-0.004687,0.023438,0.029687
26,13,10,0.017188,0.023438,0.034552
27,0,10,0.007812,0.023438,0.032212
27,16,10,0.014063,0.023438,0.033109
28,2,10,0.010937,0.023438,0.034268
31,18,10,-0.007812,0.023438,0.032212
31,26,10,0.017188,0.023438,0.034552
12,30,10,-0.003125,0.021875,0.029481
17,31,10,0.003125,0.021875,0.029481
18,18,10,0.009375,0.021875,0.028125
19,18,10,0.015625,0.021875,0.032022
19,26,10,0.015625,0.021875,0.032022
20,19,10,0.009375,0.021875,0.037107
21,21,10,-0.015625,0.021875,0.032022
22,22,10,0.003125,0.021875,0.029481
23,13,10,-0.003125,0.021875,0.029481
24,25,10,0.009375,0.021875,0.034375
25,15,10,0.021875,0.021875,0.024407
25,17,10,-0.009375,0.021875,0.034375
25,21,10,0.015625,0.021875,0.028811
26,8,10,0.021875,0.021875,0.028125
28,8,10,0.015625,0.021875,0.032022
28,19,10,-0.003125,0.021875,0.040625
28,21,10,0.003125,0.021875,0.038145
29,14,10,0.015625,0.021875,0.028811
29,19,10,-0.009375,0.021875,0.031406
30,3,10,0.003125,0.021875,0.029481
30,5,10,0.021875,0.021875,0.034375
31,3,10,0.015625,0.021875,0.034939
31,31,10,0.021875,0.021875,0.024407
0,5,10,0.001563,0.020313,0.033109
16,11,10,0.014063,0.020313,0.024656
16,20,10,0.001563,0.020313,0.031600
18,24,10,0.017188,0.020313,0.033109
19,30,10,0.014063,0.020313,0.024656
21,4,10,-0.007812,0.020313,0.030658
21,12,10,0.007812,0.020313,0.030658
22,11,10,-0.001563,0.020313,0.034552
22,20,10,0.010937,0.020313,0.022152
22,23,10,0.004687,0.020313,0.031289
23,17,10,0.004687,0.020313,0.034268
24,21,10,-0.014063,0.020313,0.028341
26,0,10,0.007812,0.020313,0.033694
27,4,10,-0.004687,0.020313,0.031289
27,6,10,0.004687,0.020313,0.031289
27,19,10,0.007812,0.020313,0.033694
27,27,10,-0.001563,0.020313,0.028341
28,6,10,0.007812,0.020313,0.030658
28,9,10,0.007812,0.020313,0.027288
29,1,10,0.007812,0.020313,0.030658
29,3,10,0.007812,0.020313,0.027288
30,29,10,-0.001563,0.020313,0.028341
31,6,10,-0.001563,0.020313,0.031600
31,13,10,0.014063,0.020313,0.024656
12,28,10,-0.006250,0.018750,0.027243
17,2,10,0.012500,0.018750,0.028641
18,26,10,0.012500,0.018750,0.031869
19,10,10,0.006250,0.018750,0.027243
20,22,10,-0.012500,0.018750,0.028641
21,9,10,0.000000,0.018750,0.027951
22,21,10,-0.006250,0.018750,0.027243
22,26,10,0.006250,0.018750,0.027243
22,29,10,-0.006250,0.018750,0.027243
23,20,10,0.006250,0.018750,0.027243
24,19,10,0.012500,0.018750,0.028641
25,1,10,0.000000,0.018750,0.031250
25,29,10,0.012500,0.018750,0.025000
26,5,10,0.000000,0.018750,0.036975
26,11,10,0.006250,0.018750,0.027243
26,25,10,0.018750,0.018750,0.020729
27,1,10,0.018750,0.018750,0.031869
27,24,10,0.006250,0.018750,0.027243
28,15,10,-0.012500,0.018750,0.028641
30,14,10,0.018750,0.018750,0.031869
30,16,10,0.018750,0.018750,0.031869
31,1,10,0.012500,0.018750,0.031869
31,8,10,0.006250,0.018750,0.027243
31,15,10,0.006250,0.018750,0.030619
18,1,10,-0.004687,0.017188,0.029688
19,9,10,0.017188,0.017188,0.024656
21,31,10,0.001563,0.017188,0.035937
23,18,10,0.004687,0.017188,0.029688
27,28,10,0.007812,0.017188,0.025436
29,2,10,0.017188,0.017188,0.031600
29,8,10,0.004687,0.017188,0.035665
29,12,10,0.010937,0.017188,0.027994
29,28,10,0.007812,0.017188,0.025436
29,29,10,0.010937,0.017188,0.019826
31,10,10,0.017188,0.017188,0.028341
31,29,10,-0.004687,0.017188,0.026192
7,21,10,0.003125,0.015625,0.025958
20,21,10,0.015625,0.015625,0.025195
24,12,10,0.015625,0.015625,0.020963
24,27,10,-0.003125,0.015625,0.029481
28,22,10,-0.009375,0.015625,0.024407
28,24,10,0.009375,0.015625,0.031406
29,17,10,0.015625,0.015625,0.032022
30,9,10,-0.003125,0.015625,0.021875
30,13,10,0.015625,0.015625,0.028811
30,20,10,0.015625,0.015625,0.032022
31,23,10,0.015625,0.015625,0.020963
23,16,10,0.014063,0.014063,0.020313
25,8,10,0.007812,0.014063,0.018815
25,16,10,0.007812,0.014063,0.021252
25,27,10,-0.007812,0.014063,0.023438
27,21,10,0.004687,0.014063,0.019826
28,11,10,0.007812,0.014063,0.030658
28,16,10,-0.004687,0.014063,0.031289
28,27,10,0.007812,0.014063,0.030658
30,25,10,0.014063,0.014063,0.020313
31,2,10,0.001563,0.014063,0.024656
31,12,10,0.014063,0.014063,0.020313
22,19,10,0.012500,0.012500,0.028641
25,6,10,-0.006250,0.012500,0.023385
29,4,10,0.000000,0.012500,0.019764
29,16,10,0.000000,0.012500,0.019764
30,23,10,0.006250,0.012500,0.018750
31,0,10,-0.006250,0.012500,0.023385
31,7,10,0.012500,0.012500,0.020729
31,20,10,0.006250,0.012500,0.018750
16,3,10,0.010937,0.010937,0.014063
19,16,10,0.007812,0.010937,0.016011
20,25,10,-0.004687,0.010937,0.017188
25,20,10,0.010937,0.010937,0.019826
27,26,10,0.001563,0.010937,0.017747
29,0,10,0.001563,0.010937,0.017747
30,17,10,0.010937,0.010937,0.019826
25,18,10,0.003125,0.009375,0.016829
26,10,10,0.009375,0.009375,0.014321
27,14,10,-0.003125,0.009375,0.016829
30,21,10,-0.003125,0.009375,0.021875
30,28,10,0.009375,0.009375,0.014321
31,16,10,0.009375,0.009375,0.014321
27,23,10,0.006250,0.006250,0.012500
30,10,10,0.006250,0.006250,0.012500
30,6,10,0.004687,0.004687,0.010005
